year,age,income,satisfaction,information,gender
2000,35,320,5,タグ：会社員いわゆる普通の会社員でした。,男性
2001,36,330,5,タグ：会社員いわゆる普通の会社員でした。,男性
2002,37,340,5,タグ：会社員いわゆる普通の会社員でした。,男性
2003,38,350,4,タグ：会社員いわゆる普通の会社員でした。,男性
2004,39,350,5,タグ：会社員いわゆる普通の会社員でした。,男性
2005,40,350,5,タグ：会社員いわゆる普通の会社員でした。,男性
2006,41,180,3,失業し、転職。非正規雇用。,男性
2007,42,170,3,タグ：会社員不安定な身分で、いつもイライラしていました。,男性
2008,43,150,3,タグ：会社員不安定な身分で、いつもイライラしていました。,男性
2009,44,130,3,タグ：会社員不安定な身分で、いつもイライラしていました。,男性
2010,45,10,1,路上生活開始。,男性
2011,46,10,1,タグ：ホームレス路上生活は快適ではないです。でも支援者にいろいろ言われるよりはましだと思っています。,男性
2012,47,10,1,タグ：ホームレス路上生活は快適ではないです。でも支援者にいろいろ言われるよりはましだと思っています。,男性
2013,48,10,2,タグ：ホームレス路上生活は快適ではないです。でも支援者にいろいろ言われるよりはましだと思っています。,男性
2014,49,10,2,タグ：ホームレス路上生活は快適ではないです。でも支援者にいろいろ言われるよりはましだと思っています。,男性
2015,50,10,2,タグ：ホームレス路上生活は快適ではないです。でも支援者にいろいろ言われるよりはましだと思っています。,男性
2016,51,10,2,タグ：ホームレス路上生活は快適ではないです。でも支援者にいろいろ言われるよりはましだと思っています。,男性
2017,52,10,3,タグ：ホームレス路上生活は快適ではないです。でも支援者にいろいろ言われるよりはましだと思っています。,男性
2018,53,10,3,タグ：ホームレス路上生活は快適ではないです。でも支援者にいろいろ言われるよりはましだと思っています。,男性
2019,54,10,3,タグ：ホームレス路上生活は快適ではないです。でも支援者にいろいろ言われるよりはましだと思っています。,男性
2020,55,10,3,タグ：ホームレス路上生活は快適ではないです。でも支援者にいろいろ言われるよりはましだと思っています。,男性
2021,56,10,3,タグ：ホームレス路上生活は快適ではないです。でも支援者にいろいろ言われるよりはましだと思っています。,男性
