year,age,income,satisfaction,information,gender
2000,33,400,7,タグ：会社員順調な生活だったと思っています。,女性
2001,34,400,7,タグ：会社員順調な生活だったと思っています。,女性
2002,35,410,7,タグ：会社員順調な生活だったと思っています。,女性
2003,36,410,7,タグ：会社員順調な生活だったと思っています。,女性
2004,37,410,7,タグ：会社員順調な生活だったと思っています。,女性
2005,38,410,6,タグ：会社員順調な生活だったと思っています。,女性
2006,39,420,6,タグ：会社員順調な生活だったと思っています。,女性
2007,40,420,7,タグ：会社員順調な生活だったと思っています。,女性
2008,41,420,7,タグ：会社員順調な生活だったと思っています。,女性
2009,42,420,7,タグ：会社員順調な生活だったと思っています。,女性
2010,43,130,0,夫と死別。,女性
2011,44,150,1,タグ：会社員夫と死別した後、必死で毎日過ごしていました。,女性
2012,45,170,1,タグ：会社員夫と死別した後、必死で毎日過ごしていました。,女性
2013,46,190,1,タグ：会社員夫と死別した後、必死で毎日過ごしていました。,女性
2014,47,190,3,タグ：会社員夫と死別した後、必死で毎日過ごしていました。,女性
2015,48,200,4,タグ：会社員夫と死別した後、必死で毎日過ごしていました。,女性
2016,49,200,5,タグ：会社員夫と死別した後、必死で毎日過ごしていました。,女性
2017,50,210,6,タグ：会社員夫と死別した後、必死で毎日過ごしていました。,女性
2018,51,210,6,タグ：会社員夫と死別した後、必死で毎日過ごしていました。,女性
2019,52,220,7,タグ：会社員夫と死別した後、必死で毎日過ごしていました。,女性
2020,53,220,7,タグ：会社員夫と死別した後、必死で毎日過ごしていました。,女性
2021,54,220,7,タグ：会社員夫と死別した後、必死で毎日過ごしていました。,女性
