year,age,income,satisfaction,information,gender
2000,44,500,7,タグ：会社員順調に出世しました。,男性
2001,45,510,7,タグ：会社員順調に出世しました。,男性
2002,46,520,8,タグ：会社員順調に出世しました。,男性
2003,47,530,8,タグ：会社員順調に出世しました。,男性
2004,48,540,8,タグ：会社員順調に出世しました。,男性
2005,49,550,7,タグ：会社員順調に出世しました。,男性
2006,50,560,7,タグ：会社員順調に出世しました。,男性
2007,51,570,7,タグ：会社員順調に出世しました。,男性
2008,52,580,6,タグ：会社員順調に出世しました。,男性
2009,53,590,7,タグ：会社員順調に出世しました。,男性
2010,54,600,7,タグ：会社員順調に出世しました。,男性
2011,55,610,7,タグ：会社員順調に出世しました。,男性
2012,56,620,7,タグ：会社員順調に出世しました。,男性
2013,57,630,6,タグ：会社員順調に出世しました。,男性
2014,58,640,6,タグ：会社員順調に出世しました。,男性
2015,59,650,6,タグ：会社員順調に出世しました。,男性
2016,60,300,2,定年退職、再雇用。,男性
2017,61,300,3,タグ：会社員再雇用。待遇の悪さに愚痴が出ます。,男性
2018,62,300,3,タグ：会社員再雇用。待遇の悪さに愚痴が出ます。,男性
2019,63,300,3,タグ：会社員再雇用。待遇の悪さに愚痴が出ます。,男性
2020,64,300,2,タグ：会社員再雇用。待遇の悪さに愚痴が出ます。,男性
2021,65,200,2,退職しました。,男性
