year,age,income,satisfaction,information,gender
2000,22,280,9,タグ：会社員それなりに会社員を満喫していました。,男性
2001,23,280,10,タグ：会社員それなりに会社員を満喫していました。,男性
2002,24,280,10,タグ：会社員それなりに会社員を満喫していました。,男性
2003,25,280,9,タグ：会社員それなりに会社員を満喫していました。,男性
2004,26,290,9,タグ：会社員それなりに会社員を満喫していました。,男性
2005,27,290,9,タグ：会社員それなりに会社員を満喫していました。,男性
2006,28,300,5,タグ：会社員それなりに会社員を満喫していました。,男性
2007,29,240,6,失職。転職。,男性
2008,30,240,6,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2009,31,240,7,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2010,32,240,7,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2011,33,240,7,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2012,34,250,7,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2013,35,250,8,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2014,36,250,8,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2015,37,260,7,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2016,38,260,7,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2017,39,260,6,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2018,40,270,6,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2019,41,270,6,タグ：会社員給料が下がり、内心かなり不満を抱えていました。,男性
2020,42,190,2,失職。転職。非正規雇用。,男性
2021,43,190,2,タグ：会社員コロナ禍で、来月は収入がどうなるかもわかりません。,男性
