year,age,income,satisfaction,information,gender
2000,29,200,6,タグ：ニート働いたことはないし、部屋でネットやゲームで過ごしていてもそれなりに快適でした。,男性
2001,30,200,6,タグ：ニート働いたことはないし、部屋でネットやゲームで過ごしていてもそれなりに快適でした。,男性
2002,31,210,5,タグ：ニート働いたことはないし、部屋でネットやゲームで過ごしていてもそれなりに快適でした。,男性
2003,32,210,5,タグ：ニート働いたことはないし、部屋でネットやゲームで過ごしていてもそれなりに快適でした。,男性
2004,33,210,5,タグ：ニート働いたことはないし、部屋でネットやゲームで過ごしていてもそれなりに快適でした。,男性
2005,34,210,6,タグ：ニート働いたことはないし、部屋でネットやゲームで過ごしていてもそれなりに快適でした。,男性
2006,35,210,5,タグ：ニート働いたことはないし、部屋でネットやゲームで過ごしていてもそれなりに快適でした。,男性
2007,36,220,5,タグ：ニート働いたことはないし、部屋でネットやゲームで過ごしていてもそれなりに快適でした。,男性
2008,37,220,5,タグ：ニート働いたことはないし、部屋でネットやゲームで過ごしていてもそれなりに快適でした。,男性
2009,38,220,5,タグ：ニート働いたことはないし、部屋でネットやゲームで過ごしていてもそれなりに快適でした。,男性
2010,39,220,5,タグ：ニート働いたことはないし、部屋でネットやゲームで過ごしていてもそれなりに快適でした。,男性
2011,40,100,1,親が退職。,男性
2012,41,100,1,タグ：ニート親が退職したことで生活費が足りなくなり、家の中での言い争いが増えました。いつも将来への不安を抱えています。,男性
2013,42,100,1,タグ：ニート親が退職したことで生活費が足りなくなり、家の中での言い争いが増えました。いつも将来への不安を抱えています。,男性
2014,43,100,1,タグ：ニート親が退職したことで生活費が足りなくなり、家の中での言い争いが増えました。いつも将来への不安を抱えています。,男性
2015,44,100,1,タグ：ニート親が退職したことで生活費が足りなくなり、家の中での言い争いが増えました。いつも将来への不安を抱えています。,男性
2016,45,100,0,タグ：ニート親が退職したことで生活費が足りなくなり、家の中での言い争いが増えました。いつも将来への不安を抱えています。,男性
2017,46,100,0,タグ：ニート親が退職したことで生活費が足りなくなり、家の中での言い争いが増えました。いつも将来への不安を抱えています。,男性
2018,47,100,0,タグ：ニート親が退職したことで生活費が足りなくなり、家の中での言い争いが増えました。いつも将来への不安を抱えています。,男性
2019,48,100,0,タグ：ニート親が退職したことで生活費が足りなくなり、家の中での言い争いが増えました。いつも将来への不安を抱えています。,男性
2020,49,100,0,タグ：ニート親が退職したことで生活費が足りなくなり、家の中での言い争いが増えました。いつも将来への不安を抱えています。,男性
2021,50,100,0,タグ：ニート親が退職したことで生活費が足りなくなり、家の中での言い争いが増えました。いつも将来への不安を抱えています。,男性
