year,age,income,satisfaction,information,gender
2000,16,400,7,タグ：高校生成績は上位のほうでした。,女性
2001,17,410,8,タグ：高校生成績は上位のほうでした。,女性
2002,18,410,8,大学入学,女性
2003,19,410,8,タグ：大学生大学の勉強は面白かったです。,女性
2004,20,420,9,タグ：大学生大学の勉強は面白かったです。,女性
2005,21,420,9,タグ：大学生大学の勉強は面白かったです。,女性
2006,22,220,10,大学院進学,女性
2007,23,220,9,タグ：大学院生大学院での研究はうまくいかず焦ってばかりでした。,女性
2008,24,220,8,タグ：大学院生大学院での研究はうまくいかず焦ってばかりでした。,女性
2009,25,220,7,タグ：大学院生大学院での研究はうまくいかず焦ってばかりでした。,女性
2010,26,220,6,タグ：大学院生大学院での研究はうまくいかず焦ってばかりでした。,女性
2011,27,220,4,タグ：大学院生大学院での研究はうまくいかず焦ってばかりでした。,女性
2012,28,220,4,タグ：大学院生大学院での研究はうまくいかず焦ってばかりでした。,女性
2013,29,220,4,タグ：大学院生大学院での研究はうまくいかず焦ってばかりでした。,女性
2014,30,220,4,タグ：非常勤講師常勤の職は見つからず、研究する時間もとれませんが、いつか就職できると思って頑張っています。,女性
2015,31,100,5,タグ：非常勤講師常勤の職は見つからず、研究する時間もとれませんが、いつか就職できると思って頑張っています。,女性
2016,32,120,5,タグ：非常勤講師常勤の職は見つからず、研究する時間もとれませんが、いつか就職できると思って頑張っています。,女性
2017,33,120,5,タグ：非常勤講師常勤の職は見つからず、研究する時間もとれませんが、いつか就職できると思って頑張っています。,女性
2018,34,120,4,タグ：非常勤講師常勤の職は見つからず、研究する時間もとれませんが、いつか就職できると思って頑張っています。,女性
2019,35,100,5,タグ：非常勤講師常勤の職は見つからず、研究する時間もとれませんが、いつか就職できると思って頑張っています。,女性
2020,36,100,5,タグ：非常勤講師常勤の職は見つからず、研究する時間もとれませんが、いつか就職できると思って頑張っています。,女性
2021,37,100,5,タグ：非常勤講師常勤の職は見つからず、研究する時間もとれませんが、いつか就職できると思って頑張っています。,女性
