year,age,income,satisfaction,information,gender
2000,29,250,4,タグ：シングルマザー子供：9歳子供が家事などを手伝ってくれてなんとか生活できていました。,女性
2001,30,250,4,タグ：シングルマザー子供：10歳子供が家事などを手伝ってくれてなんとか生活できていました。,女性
2002,31,250,4,タグ：シングルマザー子供：11歳子供が家事などを手伝ってくれてなんとか生活できていました。,女性
2003,32,250,4,タグ：シングルマザー子供：12歳子供が家事などを手伝ってくれてなんとか生活できていました。,女性
2004,33,250,4,タグ：シングルマザー子供：13歳子供が家事などを手伝ってくれてなんとか生活できていました。,女性
2005,34,250,5,タグ：シングルマザー子供：14歳子供が家事などを手伝ってくれてなんとか生活できていました。,女性
2006,35,250,4,タグ：シングルマザー子供：15歳子供が家事などを手伝ってくれてなんとか生活できていました。,女性
2007,36,240,3,タグ：シングルマザー子供：16歳子供が家事などを手伝ってくれてなんとか生活できていました。,女性
2008,37,250,4,タグ：シングルマザー子供：17歳子供が家事などを手伝ってくれてなんとか生活できていました。,女性
2009,38,250,4,タグ：シングルマザー子供：18歳教育費がかかり苦しい時期でした。,女性
2010,39,250,4,タグ：シングルマザー子供：19歳教育費がかかり苦しい時期でした。,女性
2011,40,250,4,タグ：シングルマザー子供：20歳教育費がかかり苦しい時期でした。,女性
2012,41,250,4,タグ：シングルマザー子供：21歳教育費がかかり苦しい時期でした。,女性
2013,42,250,4,タグ：シングルマザー子供：22歳教育費がかかり苦しい時期でした。,女性
2014,43,300,9,タグ：会社員子供から仕送りあり,女性
2015,44,310,9,タグ：会社員子供から仕送りあり,女性
2016,45,310,9,タグ：会社員子供から仕送りあり,女性
2017,46,320,10,タグ：会社員子供から仕送りあり,女性
2018,47,320,9,タグ：会社員子供から仕送りあり,女性
2019,48,320,8,タグ：会社員子供から仕送りあり,女性
2020,49,320,9,タグ：会社員子供から仕送りあり,女性
2021,50,330,9,タグ：会社員子供から仕送りあり,女性
