year,age,income,satisfaction,information,gender
2000,4,400,7,タグ：未就学児楽しい子供時代でした。,男性
2001,5,400,7,タグ：未就学児楽しい子供時代でした。,男性
2002,6,410,6,タグ：未就学児楽しい子供時代でした。,男性
2003,7,410,6,タグ：小学生楽しい子供時代でした。,男性
2004,8,420,7,タグ：小学生楽しい子供時代でした。,男性
2005,9,420,6,タグ：小学生楽しい子供時代でした。,男性
2006,10,430,5,タグ：小学生楽しい子供時代でした。,男性
2007,11,430,5,タグ：小学生楽しい子供時代でした。,男性
2008,12,430,5,タグ：小学生楽しい子供時代でした。,男性
2009,13,440,6,タグ：中学生友達とよく遊んで、ほとんど勉強はしていませんでした。,男性
2010,14,440,6,タグ：中学生友達とよく遊んで、ほとんど勉強はしていませんでした。,男性
2011,15,450,6,タグ：中学生友達とよく遊んで、ほとんど勉強はしていませんでした。,男性
2012,16,450,7,タグ：高校生志望校ではない高校に進学。あまり楽しい思い出はありません。,男性
2013,17,450,6,タグ：高校生志望校ではない高校に進学。あまり楽しい思い出はありません。,男性
2014,18,450,6,タグ：高校生志望校ではない高校に進学。あまり楽しい思い出はありません。,男性
2015,19,180,4,就職。,男性
2016,20,180,4,タグ：会社員生活は苦しく、結婚できそうな見通しはありません。,男性
2017,21,170,4,タグ：会社員生活は苦しく、結婚できそうな見通しはありません。,男性
2018,22,170,4,タグ：会社員生活は苦しく、結婚できそうな見通しはありません。,男性
2019,23,170,4,タグ：会社員生活は苦しく、結婚できそうな見通しはありません。,男性
2020,24,130,3,タグ：会社員生活は苦しく、結婚できそうな見通しはありません。,男性
2021,25,130,3,タグ：会社員生活は苦しく、結婚できそうな見通しはありません。,男性
