year,age,income,satisfaction,information,gender
2000,52,400,8,タグ：専業主婦平均的な暮らしだったと思います。,女性
2001,53,400,8,タグ：専業主婦平均的な暮らしだったと思います。,女性
2002,54,400,7,タグ：専業主婦平均的な暮らしだったと思います。,女性
2003,55,400,7,タグ：専業主婦平均的な暮らしだったと思います。,女性
2004,56,400,7,タグ：専業主婦平均的な暮らしだったと思います。,女性
2005,57,400,8,タグ：専業主婦平均的な暮らしだったと思います。,女性
2006,58,400,8,タグ：専業主婦平均的な暮らしだったと思います。,女性
2007,59,400,8,タグ：専業主婦平均的な暮らしだったと思います。,女性
2008,60,400,8,タグ：専業主婦平均的な暮らしだったと思います。,女性
2009,61,400,8,タグ：専業主婦平均的な暮らしだったと思います。,女性
2010,62,400,8,タグ：専業主婦平均的な暮らしだったと思います。,女性
2011,63,400,8,タグ：専業主婦平均的な暮らしだったと思います。,女性
2012,64,400,7,タグ：専業主婦平均的な暮らしだったと思います。,女性
2013,65,300,8,年金受給開始。,女性
2014,66,300,8,タグ：年金生活者老後資金を十分に貯めていなかったので、これからが心配です。,女性
2015,67,300,8,タグ：年金生活者老後資金を十分に貯めていなかったので、これからが心配です。,女性
2016,68,300,8,タグ：年金生活者老後資金を十分に貯めていなかったので、これからが心配です。,女性
2017,69,300,8,タグ：年金生活者老後資金を十分に貯めていなかったので、これからが心配です。,女性
2018,70,300,9,タグ：年金生活者老後資金を十分に貯めていなかったので、これからが心配です。,女性
2019,71,300,9,タグ：年金生活者老後資金を十分に貯めていなかったので、これからが心配です。,女性
2020,72,300,8,タグ：年金生活者老後資金を十分に貯めていなかったので、これからが心配です。,女性
2021,73,300,8,タグ：年金生活者老後資金を十分に貯めていなかったので、これからが心配です。,女性
