year,age,income,satisfaction,information,gender
2000,59,500,350,タグ：会社員悪くない会社員生活だっと思います。,男性
2001,60,500,7,タグ：会社員悪くない会社員生活だっと思います。,男性
2002,61,500,7,タグ：会社員悪くない会社員生活だっと思います。,男性
2003,62,500,7,タグ：会社員悪くない会社員生活だっと思います。,男性
2004,63,500,7,タグ：会社員悪くない会社員生活だっと思います。,男性
2005,64,350,3,定年退職しました。,男性
2006,65,350,3,年金受給開始。,男性
2007,66,350,3,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2008,67,350,3,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2009,68,350,3,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2010,69,350,3,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2011,70,350,3,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2012,71,350,3,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2013,72,350,3,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2014,73,350,3,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2015,74,350,3,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2016,75,350,3,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2017,76,350,2,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2018,77,350,2,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2019,78,350,2,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2020,79,350,2,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
2021,80,350,2,タグ：年金生活者贅沢はできませんが、平穏な毎日です。,男性
