year,age,income,satisfaction,information,gender
2000,,,,,女性
2001,,,,,女性
2002,,,,,女性
2003,0,140,8,誕生。,女性
2004,1,140,8,タグ：未就学児両親の仲はよくなかったですが、楽しいことも多い子供時代でした。,女性
2005,2,140,8,タグ：未就学児両親の仲はよくなかったですが、楽しいことも多い子供時代でした。,女性
2006,3,150,8,タグ：未就学児両親の仲はよくなかったですが、楽しいことも多い子供時代でした。,女性
2007,4,130,8,タグ：未就学児両親の仲はよくなかったですが、楽しいことも多い子供時代でした。,女性
2008,5,140,7,タグ：未就学児両親の仲はよくなかったですが、楽しいことも多い子供時代でした。,女性
2009,6,140,5,タグ：未就学児両親の仲はよくなかったですが、楽しいことも多い子供時代でした。,女性
2010,7,140,4,タグ：小学生家庭環境は悪くなり、家はいつも居心地が悪かったです。,女性
2011,8,150,4,タグ：小学生家庭環境は悪くなり、家はいつも居心地が悪かったです。,女性
2012,9,150,4,タグ：小学生家庭環境は悪くなり、家はいつも居心地が悪かったです。,女性
2013,10,150,4,タグ：小学生家庭環境は悪くなり、家はいつも居心地が悪かったです。,女性
2014,11,150,4,タグ：小学生家庭環境は悪くなり、家はいつも居心地が悪かったです。,女性
2015,12,140,5,タグ：小学生家庭環境は悪くなり、家はいつも居心地が悪かったです。,女性
2016,13,140,5,タグ：中学生中学校を休みがちになりました。,女性
2017,14,140,5,タグ：中学生中学校を休みがちになりました。,女性
2018,15,180,7,アルバイトを始める。,女性
2019,16,180,7,タグ：高校生アルバイトをすることで、自分で何とかできるんだという気持ちが生まれました。,女性
2020,17,180,7,タグ：高校生アルバイトをすることで、自分で何とかできるんだという気持ちが生まれました。,女性
2021,18,180,7,タグ：高校生アルバイトをすることで、自分で何とかできるんだという気持ちが生まれました。,女性
