year,age,income,satisfaction,information,gender
2000,18,350,8,タグ：大学生大学に入学しました。,女性
2001,19,350,8,タグ：大学生,女性
2002,20,350,8,タグ：大学生,女性
2003,21,280,9,タグ：大学生就職しました,女性
2004,22,290,8,タグ：会社員,女性
2005,23,300,8,タグ：会社員,女性
2006,24,300,8,タグ：会社員,女性
2007,25,310,7,タグ：会社員,女性
2008,26,700,8,タグ：会社員職場結婚しました。,女性
2009,27,500,9,出産・退職,女性
2010,28,510,6,タグ：専業主婦子供：2歳,女性
2011,29,510,5,タグ：専業主婦子供：3歳,女性
2012,30,520,4,タグ：専業主婦子供：4歳,女性
2013,31,0,2,タグ：シングルマザー離婚した年です。ボロボロに疲れてました。,女性
2014,32,200,3,タグ：シングルマザー子供：6歳就職しました。,女性
2015,33,200,3,タグ：シングルマザー子供：7歳子育てと仕事の両立で疲れ切る毎日です。お金の悩みもいつも抱えています。,女性
2016,34,210,3,タグ：シングルマザー子供：8歳子育てと仕事の両立で疲れ切る毎日です。お金の悩みもいつも抱えています。,女性
2017,35,200,2,タグ：シングルマザー子供：9歳子育てと仕事の両立で疲れ切る毎日です。お金の悩みもいつも抱えています。,女性
2018,36,200,2,タグ：シングルマザー子供：10歳子育てと仕事の両立で疲れ切る毎日です。お金の悩みもいつも抱えています。,女性
2019,37,200,3,タグ：シングルマザー子供：11歳子育てと仕事の両立で疲れ切る毎日です。お金の悩みもいつも抱えています。,女性
2020,38,180,2,タグ：シングルマザー子供：12歳子育てと仕事の両立で疲れ切る毎日です。お金の悩みもいつも抱えています。,女性
2021,39,180,2,タグ：シングルマザー子供：13歳子育てと仕事の両立で疲れ切る毎日です。お金の悩みもいつも抱えています。,女性
