year,age,income,satisfaction,information,gender
2000,,,,,男性
2001,,,,,男性
2002,,,,,男性
2003,,,,,男性
2004,,,,,男性
2005,30,130,6,来日。,男性
2006,31,160,3,支援金で生活。,男性
2007,32,160,5,就職,男性
2008,33,160,5,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2009,34,160,5,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2010,35,170,6,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2011,36,170,6,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2012,37,170,6,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2013,38,170,6,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2014,39,170,5,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2015,40,180,5,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2016,41,180,6,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2017,42,180,6,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2018,43,180,6,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2019,44,180,6,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2020,45,180,6,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
2021,46,180,6,タグ：難民、会社員なかなか日本語が上達せず日本にはなじめないところもありますが、同国人コミュニティで助けあい暮らしています。,男性
